"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"1","query_1",TRUE,0.00539297557631697,437,73,9,0.123287671232877,0.0205949656750572,"GO:0034470","CDIC_typeA","ncRNA processing",27205,9107,"ISS ISO IBA IEA,IBA,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,IEA,IEA,ISS ISO IEA,IBA","Elp3,Nol6,Nsun5,Nsun6,Rps16,Utp14b,Utp25,Zc3h10,Znhit6"
"2","query_1",TRUE,0.00633027246381657,11,73,3,0.0410958904109589,0.272727272727273,"GO:2000615","CDIC_typeA","regulation of histone H3-K9 acetylation",27205,27177,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"3","query_1",TRUE,0.00842408634353372,12,73,3,0.0410958904109589,0.25,"GO:0043970","CDIC_typeA","histone H3-K9 acetylation",27205,11492,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"4","query_1",TRUE,0.0122774583692459,618,73,10,0.136986301369863,0.0161812297734628,"GO:0034660","CDIC_typeA","ncRNA metabolic process",27205,9175,"ISS ISO IBA IEA,IBA,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,ISS IBA IEA,IEA,IEA,ISS ISO IEA,IBA","Elp3,Nol6,Nsun5,Nsun6,Rps16,Sars2,Utp14b,Utp25,Zc3h10,Znhit6"
"5","query_1",TRUE,0.00539297557631697,437,73,9,0.123287671232877,0.0205949656750572,"GO:0034470","CDIC_typeB","ncRNA processing",27205,9107,"ISS ISO IBA IEA,IBA,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,IEA,IEA,ISS ISO IEA,IBA","Elp3,Nol6,Nsun5,Nsun6,Rps16,Utp14b,Utp25,Zc3h10,Znhit6"
"6","query_1",TRUE,0.00633027246381657,11,73,3,0.0410958904109589,0.272727272727273,"GO:2000615","CDIC_typeB","regulation of histone H3-K9 acetylation",27205,27177,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"7","query_1",TRUE,0.00842408634353372,12,73,3,0.0410958904109589,0.25,"GO:0043970","CDIC_typeB","histone H3-K9 acetylation",27205,11492,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"8","query_1",TRUE,0.0122774583692459,618,73,10,0.136986301369863,0.0161812297734628,"GO:0034660","CDIC_typeB","ncRNA metabolic process",27205,9175,"ISS ISO IBA IEA,IBA,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,ISS IBA IEA,IEA,IEA,ISS ISO IEA,IBA","Elp3,Nol6,Nsun5,Nsun6,Rps16,Sars2,Utp14b,Utp25,Zc3h10,Znhit6"
"9","query_1",TRUE,0.000418567554627762,618,177,18,0.101694915254237,0.029126213592233,"GO:0034660","LOH","ncRNA metabolic process",27205,9175,"IBA,ISS ISO IBA IEA,IDA ISO IBA IEA,ISO IEA,ISO IEA,ISO,IBA,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,ISO IBA IEA,ISS IBA IEA,ISO IBA IEA,IEA,IEA,IEA,ISS ISO IEA,IBA","Abt1,Elp3,Eprs,Gnl3,Myb,Myc,Nol6,Nsun5,Nsun6,Riok2,Rps16,Sars2,Tsen2,Utp14a,Utp14b,Utp25,Zc3h10,Znhit6"
"10","query_1",TRUE,0.000605089874801726,376,177,14,0.0790960451977401,0.0372340425531915,"GO:0018205","LOH","peptidyl-lysine modification",27205,5568,"IMP,IMP ISO IBA IEA,IDA,IBA,IMP,ISO NAS IEA,ISO IEA,IMP ISO IBA IEA,ISO,IDA IMP,ISO IEA,IBA,IBA,IEA","Bcl11a,Brca1,Chek1,Dpy30,Eed,Epc2,Gnl3,Kmt2a,Myb,Nap1l2,Ndufab1,Senp8,Setbp1,Taf5"
